H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod      804 dzeit  2.93E-07 agej  1.2827E-04
 # t9 =    1.750E-01 rho =    4.528E+01
 # densn  8.14804E+08
 # densp  1.24756E+23
 # densa  3.33546E+24
 # total_energy_flux_[erg/(g*s)]  2.30147E+16
  462    50. 109.   1   1.00000E-99  SN109
  463    50. 110.   1   1.00000E-99  SN110
  464    50. 111.   1   1.00000E-99  SN111
  465    50. 112.   1   6.03876E-11  SN112
  466    50. 113.   1   1.89063E-14  SN113
  467    50. 114.   1   4.17356E-11  SN114
  468    50. 115.   1   2.16534E-11  SN115
  469    50. 116.   1   9.36743E-10  SN116
  470    50. 117.   1   4.98767E-10  SN117
  471    50. 118.   1   1.58770E-09  SN118
  472    50. 119.   1   5.67448E-10  SN119
  473    50. 120.   1   2.17250E-09  SN120
  474    50. 121.   1   1.47908E-13  SN121
  475    50. 122.   1   3.13671E-10  SN122
  476    50. 123.   1   1.16567E-14  SN123
  477    50. 124.   1   3.98709E-10  SN124
  478    50. 125.   1   1.02433E-14  SN125
  479    50. 126.   1   1.35847E-18  SN126
  480    50. 127.   1   3.11615E-24  SN127
  481    50. 128.   1   1.00000E-99  SN128
  482    50. 129.   1   1.00000E-99  SN129
  483    50. 130.   1   1.00000E-99  SN130
  484    51. 112.   1   1.00000E-99  SB112
  485    51. 113.   1   1.00000E-99  SB113
  486    51. 114.   1   1.00000E-99  SB114
  487    51. 115.   1   1.00000E-99  SB115
  488    51. 116.   1   1.00000E-99  SB116
  489    51. 117.   1   1.12472E-26  SB117
  490    51. 118.   1   1.00000E-99  SB118
  491    51. 119.   1   2.32329E-26  SB119
  492    51. 120.   1   1.00000E-99  SB120
  493    51. 121.   1   3.12322E-10  SB121
  494    51. 122.   1   2.31082E-13  SB122
  495    51. 123.   1   2.37498E-10  SB123
  496    51. 124.   1   1.62133E-14  SB124
  497    51. 125.   1   3.05145E-15  SB125
  498    51. 126.   1   1.49135E-19  SB126
  499    51. 127.   1   4.37055E-23  SB127
  500    51. 128.   1   2.24825E-27  SB128
  501    51. 129.   1   1.00000E-99  SB129
  502    51. 130.   1   1.00000E-99  SB130
  503    51. 131.   1   1.00000E-99  SB131
  504    51. 132.   1   1.00000E-99  SB132
  505    51. 133.   1   1.00000E-99  SB133
  506    52. 114.   1   1.00000E-99  TE114
  507    52. 115.   1   1.00000E-99  TE115
  508    52. 116.   1   1.00000E-99  TE116
  509    52. 117.   1   1.00000E-99  TE117
  510    52. 118.   1   1.00000E-99  TE118
  511    52. 119.   1   1.00000E-99  TE119
  512    52. 120.   1   8.04966E-12  TE120
  513    52. 121.   1   5.97550E-15  TE121
  514    52. 122.   1   2.21963E-10  TE122
  515    52. 123.   1   7.81085E-11  TE123
  516    52. 124.   1   4.17678E-10  TE124
  517    52. 125.   1   6.23680E-10  TE125
  518    52. 126.   1   1.67004E-09  TE126
  519    52. 127.   1   2.09799E-13  TE127
  520    52. 128.   1   2.83604E-09  TE128
  521    52. 129.   1   9.43553E-14  TE129
  522    52. 130.   1   3.07244E-09  TE130
  523    52. 131.   1   1.54170E-14  TE131
  524    52. 132.   1   4.30460E-18  TE132
  525    52. 133.   1   3.16955E-23  TE133
  526    52. 134.   1   1.00000E-99  TE134
  527    53. 117.   1   1.00000E-99  I 117
  528    53. 118.   1   1.00000E-99  I 118
  529    53. 119.   1   1.00000E-99  I 119
  530    53. 120.   1   1.00000E-99  I 120
  531    53. 121.   1   1.00000E-99  I 121
  532    53. 122.   1   1.00000E-99  I 122
  533    53. 123.   1   1.00000E-99  I 123
  534    53. 124.   1   1.00000E-99  I 124
  535    53. 125.   1   6.26660E-17  I 125
  536    53. 126.   1   6.82313E-21  I 126
  537    53. 127.   1   7.21164E-10  I 127
  538    53. 128.   1   2.23837E-13  I 128
  539    53. 129.   1   7.43850E-14  I 129
